nom,racions,ingredients,passos
Peix amb pernil,,"['500 g de peix: dorada, lubina, truita…', '10g de pernil', '10g de mantega aromatitzada (amb all, julivert i sal)', ""5ml d'oli d'oliva"", 'Sal', '1⁄2 llimona']","['Encalentir el forn a 180°C i preparar la safata de forn (si fa falta emprar paper de forn).', 'Eixugar el peix amb paper absorbent. Obrir per la meitat, amanir amb una mica de sal, distribuir dins de la truita els trossos de mantega i col·locar al llarg les rodanxes senceres de pernil.', ""Tancar el peix i col·locar-lo sobre la safata de forn. Fregar la pell amb unes gotes d'oli d'oliva i sal."", ""Enfornar 15 minuts o fins que faci oloreta de cuit (20-25 min). Canviar l'opció del forn a grillar els darrers 5 minuts per torrar la pell (opcional)."", 'Servir amb unes gotes de llimona.']"
"Amanida de ruca, edame i alvocat",,"['50 g de ruca', '50 g d’edame', '20g mozarela', '20g ceba morada', '4 tomàtigues xerri', '¼ alvocat', 'OOVE, sal i llimona']","['Talla: la ceba morada, les xerris l’alvocat i la mozzarella', 'Mescla tots els ingredients en un bol: ruca, edame, mozzarella, ceba morada i alvocat tallat petit', 'Trempa amb OOVE, sal i llimona o vinagre.', 'Si t’agrada li pots afegir llavoretes (no moltes ,només 1 culleradeta postres)', 'Bon profit!']"
Espaguetis (konjac) marinera amb cloïsses i musclos,,"['1 ració d’espaguetis konjac', '80 g de cloisses i musclos (almejas i mejillons) pes sense closques', '1 tomàtiga', '2 alls', '40ml vi blanc (opcional)', 'julivert', '15 olives', '20 g de tàperes', '2 cullerades d’OOVE', 'Sal i pebre bo']","['Tallar les verdures', 'Coure els musclos i les cloïsses en una olla amb l’all, la tomàtiga (tallada a daus), el julivert i el vi (si en poses, sinó li pots posar una miqueta d’agua).', 'Preparar els espaguetis konjac (només cal treure’ls de la bossa i passar per aigua calenta).', 'Tirar els espaguetis a l’olla, i afegir els aliments crus: olives i tàperes.', 'Trempar amb OOVE, sal i prebe bo.', 'Bon profit!']"
Espinacs saltejats amb pinyons i ametlles,,"['300 g d’espinacs', '½ ceba', '1 all', '50 g d’ametlles', '20 g de pinyons', 'OOVE, sal i pebre bo']","['Talla l’all i la ceba', 'Posa una mica d’OOVE en una paella i deixa encalentir', 'Tira-hi la ceba i l’all i sofregeix', 'Mentrestant renta i talla els espinacs', 'Afegeix els espinacs a la paella i sofregeix fins que siguin cuits', 'Mentrestant pica les ametlles en un murter (deixa troços grossos)', 'Torra les ametlles i els pinyons en una paella a part (sense oli ni res)', 'Treu els espinacs i serveix en un plat, tira-hi les ametlles i els pinyons per damunt', 'Trempa amb una mica d’OOVE, sal i pebre bo i serveix!', 'Bon profit!']"
"Iogurt grec amb flocs de civada, ametlles, tahin i nabius",,"['125 g de iogurt grec', '30 g de flocs de civada', '30g de fruits secs: ametlles, avellanes, cacahuets, crema de cacahuet, tahin, pipes girasol,', '1 cullerada de tahin', '100 g de nabius o altres fruits vermells. També pot ser qualsevol altre fruita! (els fruits']","['Mesclam tots els ingredients en un bol.', 'Posar primer els flocs de civada perquè es reblaneixin. Millor emprar “copos suaves de avena”', 'Bon profit!']"
Pitreres de pollastre amb verduretes (al forn) i espècies,,"['400 g de pitreres de pollastre', '150 g de xampinyons', '100 g de carabassa', '1 pastanaga', '1 ceba morada', '1 porro']","['Posa el forna encalentir a 200ºC', 'Adoba el pollastre amb: sal, pebre bo, suc i ralladura de llimona i una mica d’oli.', 'Deixa’l macerar perquè agafi més gustet.', 'Pala i talla les verdures', 'Fes un llit de verdures dins una font i trempa-les amb oli, sal i les espècies que t’agradin: romaní, orenga, comí, nou moscada…', 'Col.loca el pollastre damunt', 'Enfornar a 200-190ºC durante 50-60 min (o fins que el pollastre estigui fet).', 'Serveix la meitat i reserva l’altre meitat per demà.']"
Cols de brussel·les amb pinyons i parmesà,,"['250 g de cols de brusselles', '9 g (1 cullerada) de pinyons', '12 ml d’OOVE (1 cullerada sopera)', '2 alls', '1 guindilla (opcional)', '10 g de parmesano', 'Sal, pebre bò']","['Bullir les cols de brussel·les amb aigua abundant durante 10-12 minuts', 'Colar-les i xepar-les per la meitat', 'Posar 1 cullerada d’OOVE en una paella, i tirar-hi els alls', 'Tirar-hi les cols de brussel·les, els pinyons i la guindilla.', 'cuinar remenant durante 3 o 4 minuts', 'Deixar reposar 2-3 minuts', 'Trempar amb oli, sal i pebre bo', 'Servir amb el parmesà ratllat per damunt']"
Iogurt grec amb ametlles,,"['125 g iogurt grec', '30 g d’ametlles']","['mescla-ho en un bol', 'Bon profit!']"
"Truita d’espàrrecs, all i cúrcuma",,"['6 ous', '100 g d’espàrrecs', '2 alls', '4 g de cúrcuma fresca rallada']","['Rentar i tallar els espàrrecs i l’all', 'Posar una paella al foc amb un raig d’oli', 'Tirar-hi els espàrrecs i l’all, deixar sofregir fins que estiguin cuits', 'Trencar els ous en un bol, afegir la mantega, salar, tirar-hi els pesàrrecs i l’all;', 'Batre.', 'Tirar la mescla a la paella, deixar coure per un costat, donar-li la volta i deixar caure per l’altre costat.', 'Reservar la meitat de la truita i servir l’altre meitat.', 'Bon profit!']"
Pasta de carabassí amb bròquil feta i alfabaguera/herba sana,,"['300 g de pasta de carabassí', '100 g de carn picada', '100 g feta', '20 g d’alfabaguera fresca o herba sana', 'OOVE, sal i pebre bo']","['Posa agua a bullir en una olla', 'Quan l’aigua bulli tira-hi la pasta de carabassí i el bròquil tallat', 'I escalde’ls', 'Mentrestant sofregeix la carn amb espècies dins una paella', 'Talla el formatge feta i l’alfabaguera o herba sana', 'Posa la “pasta” i la carn en un plat fondo', 'Tira-hi el feta i l’alfabaguera/herba sana', 'Trempa amb OOVE, sal i pebre bò', 'Bon profit!']"
Crema detox de xirivia i carxofa,,"['½ L de brou de verdures (o de pollastre)', '½ ceba', '1 porro', '50 g de xirivia', '125 g de carxofes pelades (fresques)', '1 culleradeta de cafè de cúrcuma', '1 cullerada de postres de miso', 'Suc de llimona (menys de mitja llimona)', 'OOVE, sal i pebre bo', '1 cullerada de pipes de carabassa', '1 cullerada de pipes de girasol']","['Rentar i tallar el porro i la ceba i tallar-los', 'Posar una mica d’OOVE en una paella esperar que l’oli estigui calent (+liquid)', 'Tirar-hi el porro i la ceba', 'Pelar i tallar la xirivia i les carxofes', 'Reservar els carxofes amb una mica de suc de llimona perquè no s’oxidin', 'Quan vegada la ceba i el porro siguin transparents afegir la xirivia i les carxofes', 'Deixar coure uns minuts i afegir el brou', 'Deixam coure amb la tapa posada durante 15 min o fins que les verdures estiguin', 'Retiram un cullerot de brou en un cuenco i afegim: la cúrcuma, el miso i el pebre bo i ho disolem fins que no quedin grums.', 'Ho tiram una altra vegada a l’olla.', 'Trituram amb la batedora', 'Colam amb el “xino” (la carxofa és bastant fibrosa)', 'Servim amb un raig d’OOVE i les llavoretes per damunt']"
"Amanida de ruca amb iogurt grec, ametlles i tahin",,"['50 g de ruca', '4 xerris', '10 g de coriandre o julivert', '10-20 g de ceba morada', '2 cullerada sopera de iogurt grec', '30 g d’ametlles', '2 cullerades de postres de tahin', 'OOVE, sal i llimona']","['Renta i talla totes les verdures i posa-les en un bol', 'Tira-hi dues cullerades de iogurt grec per damunt, les ametlles i el tahin', 'Trempa i remena', 'Bon profit!']"
Salmó a la planxa amb xampinyons farcits de formatge blau,,"['200 g de salmó fresc', '200 g de xampinyons', '50 g de formatge blau', 'OOVE, sal i pebre bo']","['Rentar els xampinyons i llevar-lis el peuet', 'Llevar les espines al salmó i eixugar-lo', 'Posar una mica d’OOVE en una paella o torradora, esperar a que sigui calent', 'Posar el salmó i deixar coure 3 minuts per banda (primer la part de la pell)', 'Posar els xampinyons en una altra paella, cap per avall, amb la boqueta per avall', 'Quan la boqueta estigui daurada, girar-los i distribuir el formatge, un trocet dins cada xampinyó, tapar i deixar coure 5 minuts.', 'Servir el salmó amb els xampinyons al costat.', 'Bon profit!']"
Truita de carxofes,,"['2 ous', '2 carxofes tendres', 'OOVE, sal i pebre bò']","['Renta i pala les carxofes', 'Posa una mica d’OOVE en una paella i espera a que s’encalenteixi', 'Tira-hi les carxofes i sofregeix-les uns minuts fins que es coguin', 'Posa els ous en un bol, i trempa-los', 'Tira-hi les carxifes i tira-ho tot de nou a la paella.', 'Deixa coure uns minuts i dona la volta a la truita', 'Serveix i bon profit!']"
